Machine,number of colors,Type of printing,laminate,glue killer,paper width,sending,color
JNAS-1,1,convex intermittent,0,0,220,243,1
GL-2,4,convex intermittent,0,0,185,172,2
GL-2,4,convex intermittent,0,0,125,165,2
GL-2,4,convex intermittent,0,0,285,170,2
GL-2,4,convex intermittent,0,0,230,112,2
GL-2,3,convex intermittent,0,0,235,151,2
GL-2,1,convex intermittent,0,0,240,98,1
FX-2,5,intermittent off,0,0,265,166,2
FX-2,5,intermittent off,0,0,175,167,2
FX-2,1,intermittent off,0,0,155,126,3
FX-3,4,intermittent off,0,0,205,193,2
FX-3,4,intermittent off,0,0,200,133,2
FX-3,4,intermittent off,0,0,150,113,2
FX-3,4,intermittent off,0,0,100,133,2
FX-3,4,intermittent off,0,0,100,133,2
