Machine,number of colors,Type of printing,laminate,glue killer,paper width,sending
SL-10,4,convex intermittent,0,0,85,99
SL-10,3,convex intermittent,0,0,135,96
SL-10,1,convex intermittent,0,0,110,129
SL-10,1,convex intermittent,0,0,105,156
SL-10,1,convex intermittent,0,0,105,156
SL-10,1,convex intermittent,0,0,105,156
SL-10,3,convex intermittent,0,0,175,86
SL-10,3,convex intermittent,0,0,150,146
SL-10,3,convex intermittent,0,0,115,99
SL-10,2,convex intermittent,0,0,145,82
JNAS-1,1,convex intermittent,0,0,270,146
JNAS-1,1,convex intermittent,0,0,270,146
JNAS-1,1,convex intermittent,0,0,210,160
JNAS-1,3,convex intermittent,0,0,270,126
JNAS-1,2,convex intermittent,0,0,150,203
JNAS-1,3,convex intermittent,0,0,235,173
JNAS-1,1,convex intermittent,0,0,135,176
JNAS-1,1,convex intermittent,0,0,220,243
GL-2,4,convex intermittent,0,0,185,172
GL-2,4,convex intermittent,0,0,125,165
GL-2,4,convex intermittent,0,0,285,170
GL-2,4,convex intermittent,0,0,230,112
GL-2,3,convex intermittent,0,0,235,151
GL-2,1,convex intermittent,0,0,240,98
FX-2,5,intermittent off,0,0,265,166
FX-2,5,intermittent off,0,0,175,167
FX-2,1,intermittent off,0,0,155,126
FX-3,4,intermittent off,0,0,205,193
FX-3,4,intermittent off,0,0,200,133
FX-3,4,intermittent off,0,0,150,113
FX-3,4,intermittent off,0,0,100,133
FX-3,4,intermittent off,0,0,100,133
